ccaa,periodo_origen,periodo_pred,h,ipv_pred,pi_80_low,pi_80_high,pi_95_low,pi_95_high,escenario,ratio_aseq_pred,modelo,fecha_ejecucion,explicacion
Andalucía,2025Q4,2026Q4,4,205.91,200.48,218.24,197.83,221.49,central_salarios_2pct,1.6159,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2026Q4,4,205.91,200.48,218.24,197.83,221.49,salarios_4pct,1.5318,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q1,5,210.91,204.22,228.22,201.57,233.09,salarios_0pct,1.7477,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q1,5,210.91,204.22,228.22,201.57,233.09,central_salarios_2pct,1.6469,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q1,5,210.91,204.22,228.22,201.57,233.09,salarios_4pct,1.5537,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q2,6,215.91,210.99,238.61,207.53,245.74,salarios_0pct,1.7891,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q2,6,215.91,210.99,238.61,207.53,245.74,central_salarios_2pct,1.6776,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q2,6,215.91,210.99,238.61,207.53,245.74,salarios_4pct,1.575,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q3,7,220.91,218.08,246.29,214.72,256.07,salarios_0pct,1.8306,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q3,7,220.91,218.08,246.29,214.72,256.07,central_salarios_2pct,1.708,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q3,7,220.91,218.08,246.29,214.72,256.07,salarios_4pct,1.5958,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q4,8,225.91,226.75,255.08,220.34,266.47,salarios_0pct,1.872,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q4,8,225.91,226.75,255.08,220.34,266.47,central_salarios_2pct,1.738,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2027Q4,8,225.91,226.75,255.08,220.34,266.47,salarios_4pct,1.6159,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q1,1,184.15,180.54,187.53,179.03,189.73,salarios_0pct,1.4565,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q1,1,184.15,180.54,187.53,179.03,189.73,central_salarios_2pct,1.3999,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q1,1,184.15,180.54,187.53,179.03,189.73,salarios_4pct,1.3466,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q2,2,189.27,185.4,196.09,182.79,198.21,salarios_0pct,1.497,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q2,2,189.27,185.4,196.09,182.79,198.21,central_salarios_2pct,1.4317,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q2,2,189.27,185.4,196.09,182.79,198.21,salarios_4pct,1.3705,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q3,3,194.4,189.41,203.99,187.36,206.95,salarios_0pct,1.5375,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q3,3,194.4,189.41,203.99,187.36,206.95,central_salarios_2pct,1.4632,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q3,3,194.4,189.41,203.99,187.36,206.95,salarios_4pct,1.3939,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q4,4,199.52,194.25,211.46,191.69,214.61,salarios_0pct,1.578,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q4,4,199.52,194.25,211.46,191.69,214.61,central_salarios_2pct,1.4943,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2026Q4,4,199.52,194.25,211.46,191.69,214.61,salarios_4pct,1.4166,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q1,5,204.64,198.15,221.43,195.58,226.16,salarios_0pct,1.6185,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q1,5,204.64,198.15,221.43,195.58,226.16,central_salarios_2pct,1.5251,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q1,5,204.64,198.15,221.43,195.58,226.16,salarios_4pct,1.4388,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q2,6,209.76,204.97,231.82,201.62,238.74,salarios_0pct,1.659,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q2,6,209.76,204.97,231.82,201.62,238.74,central_salarios_2pct,1.5556,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q2,6,209.76,204.97,231.82,201.62,238.74,salarios_4pct,1.4604,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q3,7,214.88,212.12,239.57,208.86,249.08,salarios_0pct,1.6995,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q3,7,214.88,212.12,239.57,208.86,249.08,central_salarios_2pct,1.5857,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q3,7,214.88,212.12,239.57,208.86,249.08,salarios_4pct,1.4815,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q4,8,220.0,220.82,248.4,214.58,259.5,salarios_0pct,1.74,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q4,8,220.0,220.82,248.4,214.58,259.5,central_salarios_2pct,1.6155,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Aragón,2025Q4,2027Q4,8,220.0,220.82,248.4,214.58,259.5,salarios_4pct,1.502,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.12 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q1,1,171.66,168.3,174.82,166.89,176.86,salarios_0pct,1.3921,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q1,1,171.66,168.3,174.82,166.89,176.86,central_salarios_2pct,1.3381,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q1,1,171.66,168.3,174.82,166.89,176.86,salarios_4pct,1.2871,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q2,2,176.14,172.54,182.48,170.11,184.46,salarios_0pct,1.4285,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q2,2,176.14,172.54,182.48,170.11,184.46,central_salarios_2pct,1.3662,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q2,2,176.14,172.54,182.48,170.11,184.46,salarios_4pct,1.3078,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q3,3,180.62,175.99,189.54,174.08,192.29,salarios_0pct,1.4648,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q3,3,180.62,175.99,189.54,174.08,192.29,central_salarios_2pct,1.394,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q3,3,180.62,175.99,189.54,174.08,192.29,salarios_4pct,1.328,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q4,4,185.1,180.22,196.18,177.84,199.11,salarios_0pct,1.5011,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q4,4,185.1,180.22,196.18,177.84,199.11,central_salarios_2pct,1.4216,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2026Q4,4,185.1,180.22,196.18,177.84,199.11,salarios_4pct,1.3476,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q1,5,189.58,183.57,205.14,181.19,209.52,salarios_0pct,1.5374,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q1,5,189.58,183.57,205.14,181.19,209.52,central_salarios_2pct,1.4488,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q1,5,189.58,183.57,205.14,181.19,209.52,salarios_4pct,1.3668,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q2,6,194.06,189.64,214.47,186.53,220.88,salarios_0pct,1.5738,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q2,6,194.06,189.64,214.47,186.53,220.88,central_salarios_2pct,1.4757,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q2,6,194.06,189.64,214.47,186.53,220.88,salarios_4pct,1.3854,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q3,7,198.54,195.99,221.36,192.98,230.14,salarios_0pct,1.6101,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q3,7,198.54,195.99,221.36,192.98,230.14,central_salarios_2pct,1.5023,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q3,7,198.54,195.99,221.36,192.98,230.14,salarios_4pct,1.4036,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q4,8,203.02,203.78,229.23,198.01,239.47,salarios_0pct,1.6464,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q4,8,203.02,203.78,229.23,198.01,239.47,central_salarios_2pct,1.5286,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Asturias, Principado de",2025Q4,2027Q4,8,203.02,203.78,229.23,198.01,239.47,salarios_4pct,1.4212,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.48 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q1,1,208.23,204.15,212.05,202.44,214.54,salarios_0pct,1.5416,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q1,1,208.23,204.15,212.05,202.44,214.54,central_salarios_2pct,1.4817,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q1,1,208.23,204.15,212.05,202.44,214.54,salarios_4pct,1.4253,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q2,2,213.01,208.65,220.67,205.71,223.06,salarios_0pct,1.577,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q2,2,213.01,208.65,220.67,205.71,223.06,central_salarios_2pct,1.5082,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q2,2,213.01,208.65,220.67,205.71,223.06,salarios_4pct,1.4438,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q3,3,217.78,212.19,228.54,209.9,231.85,salarios_0pct,1.6123,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q3,3,217.78,212.19,228.54,209.9,231.85,central_salarios_2pct,1.5344,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q3,3,217.78,212.19,228.54,209.9,231.85,salarios_4pct,1.4617,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q4,4,222.56,216.69,235.88,213.82,239.39,salarios_0pct,1.6477,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q4,4,222.56,216.69,235.88,213.82,239.39,central_salarios_2pct,1.5603,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2026Q4,4,222.56,216.69,235.88,213.82,239.39,salarios_4pct,1.4792,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q1,5,227.33,220.12,245.99,217.27,251.25,salarios_0pct,1.683,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q1,5,227.33,220.12,245.99,217.27,251.25,central_salarios_2pct,1.586,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q1,5,227.33,220.12,245.99,217.27,251.25,salarios_4pct,1.4962,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q2,6,232.11,226.82,256.52,223.1,264.18,salarios_0pct,1.7184,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q2,6,232.11,226.82,256.52,223.1,264.18,central_salarios_2pct,1.6113,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q2,6,232.11,226.82,256.52,223.1,264.18,salarios_4pct,1.5127,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q3,7,236.89,233.85,264.11,230.25,274.59,salarios_0pct,1.7537,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q3,7,236.89,233.85,264.11,230.25,274.59,central_salarios_2pct,1.6363,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q3,7,236.89,233.85,264.11,230.25,274.59,salarios_4pct,1.5288,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q4,8,241.66,242.57,272.86,235.7,285.05,salarios_0pct,1.7891,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q4,8,241.66,242.57,272.86,235.7,285.05,central_salarios_2pct,1.6611,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
"Balears, Illes",2025Q4,2027Q4,8,241.66,242.57,272.86,235.7,285.05,salarios_4pct,1.5444,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.78 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Canarias,2025Q4,2026Q1,1,182.64,179.06,186.0,177.56,188.17,salarios_0pct,1.4723,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.13 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Canarias,2025Q4,2026Q1,1,182.64,179.06,186.0,177.56,188.17,central_salarios_2pct,1.4152,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.13 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Canarias,2025Q4,2026Q1,1,182.64,179.06,186.0,177.56,188.17,salarios_4pct,1.3613,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.13 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Canarias,2025Q4,2026Q2,2,186.78,182.95,193.5,180.38,195.59,salarios_0pct,1.5056,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.13 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Canarias,2025Q4,2026Q2,2,186.78,182.95,193.5,180.38,195.59,central_salarios_2pct,1.44,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.13 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Canarias,2025Q4,2026Q2,2,186.78,182.95,193.5,180.38,195.59,salarios_4pct,1.3785,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.13 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Canarias,2025Q4,2026Q3,3,190.91,186.01,200.34,184.0,203.24,salarios_0pct,1.539,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.13 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Canarias,2025Q4,2026Q3,3,190.91,186.01,200.34,184.0,203.24,central_salarios_2pct,1.4646,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+4.13 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
