destination,year,migrant_stock
Comoros,2024,12449.0
Djibouti,1990,122221.0
Djibouti,1995,99774.0
Djibouti,2000,100507.0
Djibouti,2005,92110.0
Djibouti,2010,102307.0
Djibouti,2015,112351.0
Djibouti,2020,119738.0
Djibouti,2024,125996.0
Eritrea,1990,11848.0
Eritrea,1995,12400.0
Eritrea,2000,12952.0
Eritrea,2005,15905.0
Eritrea,2010,15813.0
Eritrea,2015,15941.0
Eritrea,2020,13934.0
Eritrea,2024,12512.0
Ethiopia,1990,875325.0
Ethiopia,1995,478712.0
Ethiopia,2000,311441.0
Ethiopia,2005,170773.0
Ethiopia,2010,227078.0
Ethiopia,2015,797374.0
Ethiopia,2020,875170.0
Ethiopia,2024,1168455.0
Kenya,1990,298089.0
Kenya,1995,618745.0
Kenya,2000,707852.0
Kenya,2005,773354.0
Kenya,2010,954925.0
Kenya,2015,1126886.0
Kenya,2020,1050147.0
Kenya,2024,992536.0
Madagascar,1990,23917.0
Madagascar,1995,21177.0
Madagascar,2000,23541.0
Madagascar,2005,26058.0
Madagascar,2010,28905.0
Madagascar,2015,32075.0
Madagascar,2020,35563.0
Madagascar,2024,38625.0
Malawi,1990,1127724.0
Malawi,1995,241624.0
Malawi,2000,232620.0
Malawi,2005,221661.0
Malawi,2010,217722.0
Malawi,2015,197328.0
Malawi,2020,191362.0
Malawi,2024,186719.0
Mauritius,1990,3613.0
Mauritius,1995,7493.0
Mauritius,2000,15543.0
Mauritius,2005,19647.0
Mauritius,2010,24836.0
Mauritius,2015,28585.0
Mauritius,2020,28893.0
Mauritius,2024,29142.0
Mayotte,1990,15229.0
Mayotte,1995,26316.0
Mayotte,2000,45474.0
Mayotte,2005,63176.0
Mayotte,2010,72757.0
Mayotte,2015,81386.0
Mayotte,2020,111540.0
Mayotte,2024,143528.0
Mozambique,1990,122332.0
Mozambique,1995,168256.0
Mozambique,2000,195702.0
Mozambique,2005,268694.0
Mozambique,2010,306471.0
Mozambique,2015,321794.0
Mozambique,2020,338850.0
Mozambique,2024,353143.0
Réunion,1990,57210.0
Réunion,1995,77159.0
Réunion,2000,100678.0
Réunion,2005,115076.0
Réunion,2010,123029.0
Réunion,2015,127209.0
Réunion,2020,131769.0
Réunion,2024,135534.0
Rwanda,1990,160024.0
Rwanda,1995,215735.0
Rwanda,2000,347076.0
Rwanda,2005,423187.0
Rwanda,2010,426901.0
Rwanda,2015,514647.0
Rwanda,2020,513907.0
Rwanda,2024,513316.0
Seychelles,1990,3721.0
Seychelles,1995,5148.0
Seychelles,2000,6574.0
Seychelles,2005,8997.0
Seychelles,2010,11420.0
Seychelles,2015,12791.0
Seychelles,2020,13050.0
Seychelles,2024,13261.0
Somalia,1990,478294.0
Somalia,1995,19527.0
Somalia,2000,20097.0
Somalia,2005,20768.0
Somalia,2010,48106.0
Somalia,2015,40990.0
Somalia,2020,58590.0
Somalia,2024,77972.0
South Sudan,1990,652365.0
South Sudan,1995,652365.0
South Sudan,2000,652365.0
South Sudan,2005,652365.0
South Sudan,2010,230732.0
South Sudan,2015,844112.0
South Sudan,2020,882252.0
South Sudan,2024,914001.0
Uganda,1990,560570.0
Uganda,1995,666211.0
Uganda,2000,624296.0
Uganda,2005,637596.0
Uganda,2010,515055.0
Uganda,2015,823181.0
Uganda,2020,1776038.0
Uganda,2024,2057759.0
United Republic of Tanzania,1990,574025.0
United Republic of Tanzania,1995,1106043.0
United Republic of Tanzania,2000,949600.0
United Republic of Tanzania,2005,771153.0
United Republic of Tanzania,2010,309847.0
United Republic of Tanzania,2015,384567.0
United Republic of Tanzania,2020,426017.0
United Republic of Tanzania,2024,462371.0
Zambia,1990,279463.0
Zambia,1995,244338.0
Zambia,2000,343703.0
Zambia,2005,252895.0
Zambia,2010,149962.0
Zambia,2015,132107.0
Zambia,2020,187955.0
Zambia,2024,249205.0
Zimbabwe,1990,634621.0
Zimbabwe,1995,431226.0
Zimbabwe,2000,410109.0
Zimbabwe,2005,402226.0
Zimbabwe,2010,398307.0
Zimbabwe,2015,400482.0
Zimbabwe,2020,416141.0
Zimbabwe,2024,429108.0
Middle Africa,1990,1461155.0
Middle Africa,1995,2662490.0
Middle Africa,2000,1775284.0
Middle Africa,2005,1961951.0
Middle Africa,2010,2436802.0
Middle Africa,2015,3479911.0
Middle Africa,2020,3861568.0
Middle Africa,2024,4854994.0
Angola,1990,33517.0
Angola,1995,39813.0
Angola,2000,46108.0
Angola,2005,62331.0
Angola,2010,336367.0
Angola,2015,632178.0
Angola,2020,656434.0
Angola,2024,676507.0
Cameroon,1990,265967.0
Cameroon,1995,244791.0
Cameroon,2000,227242.0
Cameroon,2005,265503.0
Cameroon,2010,291474.0
Cameroon,2015,508346.0
Cameroon,2020,579209.0
Cameroon,2024,642948.0
Central African Republic,1990,67234.0
Central African Republic,1995,99712.0
Central African Republic,2000,123529.0
Central African Republic,2005,96409.0
Central African Republic,2010,94685.0
Central African Republic,2015,81568.0
Central African Republic,2020,88546.0
Central African Republic,2024,94556.0
Chad,1990,74342.0
Chad,1995,89584.0
Chad,2000,104825.0
Chad,2005,352130.0
Chad,2010,417034.0
Chad,2015,466968.0
Chad,2020,547494.0
Chad,2024,1269673.0
Congo,1990,129391.0
Congo,1995,191635.0
Congo,2000,305880.0
Congo,2005,318724.0
Congo,2010,425173.0
Congo,2015,390142.0
Congo,2020,387606.0
Congo,2024,385589.0
Democratic Republic of the Congo,1990,754194.0
Democratic Republic of the Congo,1995,1816963.0
Democratic Republic of the Congo,2000,744387.0
Democratic Republic of the Congo,2005,623009.0
Democratic Republic of the Congo,2010,589882.0
Democratic Republic of the Congo,2015,810018.0
Democratic Republic of the Congo,2020,952871.0
Democratic Republic of the Congo,2024,1085090.0
Equatorial Guinea,1990,2740.0
Equatorial Guinea,1995,3629.0
Equatorial Guinea,2000,4517.0
Equatorial Guinea,2005,6588.0
Equatorial Guinea,2010,8658.0
Equatorial Guinea,2015,209611.0
Equatorial Guinea,2020,230618.0
Equatorial Guinea,2024,248930.0
Gabon,1990,128188.0
Gabon,1995,171427.0
Gabon,2000,214431.0
Gabon,2005,233824.0
Gabon,2010,270829.0
Gabon,2015,378686.0
Gabon,2020,416651.0
Gabon,2024,449746.0
Sao Tome and Principe,1990,5582.0
Sao Tome and Principe,1995,4936.0
Sao Tome and Principe,2000,4365.0
Sao Tome and Principe,2005,3433.0
Sao Tome and Principe,2010,2700.0
Sao Tome and Principe,2015,2394.0
Sao Tome and Principe,2020,2139.0
Sao Tome and Principe,2024,1955.0
Northern Africa,1990,2374205.0
Northern Africa,1995,2075487.0
Northern Africa,2000,1895038.0
Northern Africa,2005,1753656.0
Northern Africa,2010,1965200.0
Northern Africa,2015,2284569.0
Northern Africa,2020,3226461.0
Northern Africa,2024,4874040.0
Algeria,1990,273954.0
Algeria,1995,262032.0
Algeria,2000,250110.0
Algeria,2005,197728.0
Algeria,2010,217268.0
Algeria,2015,239473.0
Algeria,2020,250378.0
Algeria,2024,259458.0
Egypt,1990,144713.0
Egypt,1995,160802.0
Egypt,2000,179364.0
Egypt,2005,288944.0
Egypt,2010,323177.0
Egypt,2015,499292.0
Egypt,2020,602472.0
Egypt,2024,1139820.0
Libya,1990,457075.0
Libya,1995,508041.0
Libya,2000,567436.0
Libya,2005,625412.0
Libya,2010,687192.0
Libya,2015,771146.0
Libya,2020,826537.0
Libya,2024,897751.0
Morocco,1990,54895.0
Morocco,1995,50360.0
Morocco,2000,53034.0
Morocco,2005,56222.0
Morocco,2010,71189.0
Morocco,2015,92424.0
Morocco,2020,102358.0
Morocco,2024,111069.0
Sudan,1990,1402896.0
Sudan,1995,1053396.0
Sudan,2000,805086.0
Sudan,2005,546419.0
Sudan,2010,618709.0
Sudan,2015,620523.0
Sudan,2020,1379147.0
Sudan,2024,2397113.0
Tunisia,1990,37984.0
Tunisia,1995,37867.0
Tunisia,2000,36719.0
Tunisia,2005,35040.0
Tunisia,2010,43172.0
Tunisia,2015,56532.0
Tunisia,2020,60145.0
Tunisia,2024,63201.0
Western Sahara,1990,2688.0
Western Sahara,1995,2989.0
Western Sahara,2000,3289.0
Western Sahara,2005,3891.0
Western Sahara,2010,4493.0
Western Sahara,2015,5179.0
Western Sahara,2020,5424.0
Western Sahara,2024,5628.0
Southern Africa,1990,1517089.0
Southern Africa,1995,1204498.0
Southern Africa,2000,1248435.0
Southern Africa,2005,1745545.0
Southern Africa,2010,2512206.0
Southern Africa,2015,3408739.0
Southern Africa,2020,2903653.0
Southern Africa,2024,2911844.0
Botswana,1990,27510.0
Botswana,1995,40168.0
Botswana,2000,74934.0
Botswana,2005,84661.0
Botswana,2010,94863.0
Botswana,2015,103053.0
Botswana,2020,110268.0
Botswana,2024,116402.0
Eswatini,1990,74991.0
Eswatini,1995,35157.0
Eswatini,2000,34084.0
Eswatini,2005,33392.0
Eswatini,2010,32637.0
Eswatini,2015,32352.0
Eswatini,2020,32858.0
Eswatini,2024,33268.0
Lesotho,1990,8240.0
Lesotho,1995,7204.0
Lesotho,2000,6167.0
Lesotho,2005,6290.0
Lesotho,2010,6414.0
Lesotho,2015,9152.0
Lesotho,2020,12060.0
Lesotho,2024,15039.0
Namibia,1990,120641.0
Namibia,1995,115372.0
Namibia,2000,135547.0
Namibia,2005,107347.0
Namibia,2010,103826.0
Namibia,2015,101618.0
Namibia,2020,109391.0
Namibia,2024,116035.0
South Africa,1990,1285707.0
South Africa,1995,1006597.0
South Africa,2000,997703.0
South Africa,2005,1513855.0
South Africa,2010,2274466.0
South Africa,2015,3162564.0
South Africa,2020,2639076.0
South Africa,2024,2631100.0
Western Africa,1990,4476686.0
Western Africa,1995,5350182.0
Western Africa,2000,5254826.0
Western Africa,2005,6000026.0
Western Africa,2010,6413896.0
Western Africa,2015,7206050.0
Western Africa,2020,7747495.0
Western Africa,2024,8236829.0
Benin,1990,76751.0
Benin,1995,105703.0
Benin,2000,134655.0
Benin,2005,248320.0
Benin,2010,309225.0
Benin,2015,366284.0
Benin,2020,394276.0
Benin,2024,418202.0
Burkina Faso,1990,349652.0
Burkina Faso,1995,464104.0
Burkina Faso,2000,520363.0
Burkina Faso,2005,597658.0
Burkina Faso,2010,674438.0
Burkina Faso,2015,704676.0
Burkina Faso,2020,723989.0
Burkina Faso,2024,739820.0
Cabo Verde,1990,8931.0
Cabo Verde,1995,9979.0
Cabo Verde,2000,11027.0
Cabo Verde,2005,12700.0
Cabo Verde,2010,14373.0
Cabo Verde,2015,14924.0
Cabo Verde,2020,15788.0
Cabo Verde,2024,16515.0
Côte d'Ivoire,1990,1822374.0
Côte d'Ivoire,1995,1992981.0
Côte d'Ivoire,2000,2157339.0
Côte d'Ivoire,2005,2308068.0
Côte d'Ivoire,2010,2458796.0
Côte d'Ivoire,2015,2609525.0
Côte d'Ivoire,2020,2760255.0
Côte d'Ivoire,2024,2880839.0
Gambia,1990,118123.0
Gambia,1995,150890.0
Gambia,2000,182514.0
Gambia,2005,181839.0
Gambia,2010,185837.0
Gambia,2015,192540.0
Gambia,2020,215659.0
Gambia,2024,236137.0
Ghana,1990,164851.0
Ghana,1995,252879.0
Ghana,2000,191601.0
Ghana,2005,309932.0
Ghana,2010,337766.0
Ghana,2015,414744.0
Ghana,2020,476412.0
Ghana,2024,532286.0
Guinea,1990,403621.0
Guinea,1995,774505.0
Guinea,2000,560075.0
Guinea,2005,233419.0
Guinea,2010,178762.0
Guinea,2015,126657.0
Guinea,2020,121437.0
Guinea,2024,117416.0
Guinea-Bissau,1990,15368.0
Guinea-Bissau,1995,27961.0
Guinea-Bissau,2000,20450.0
Guinea-Bissau,2005,20902.0
Guinea-Bissau,2010,21391.0
Guinea-Bissau,2015,22333.0
Guinea-Bissau,2020,17945.0
Guinea-Bissau,2024,15064.0
Liberia,1990,94964.0
Liberia,1995,208563.0
Liberia,2000,151868.0
Liberia,2005,87217.0
Liberia,2010,99165.0
Liberia,2015,112111.0
Liberia,2020,87947.0
Liberia,2024,72423.0
Mali,1990,160736.0
Mali,1995,176187.0
Mali,2000,189475.0
Mali,2005,258630.0
Mali,2010,341078.0
Mali,2015,420504.0
Mali,2020,485829.0
Mali,2024,545323.0
Mauritania,1990,111650.0
Mauritania,1995,89562.0
Mauritania,2000,57366.0
Mauritania,2005,58211.0
Mauritania,2010,84920.0
Mauritania,2015,166552.0
Mauritania,2020,182286.0
Mauritania,2024,195937.0
Niger,1990,115464.0
Niger,1995,145999.0
Niger,2000,122260.0
Niger,2005,124509.0
Niger,2010,126482.0
Niger,2015,252998.0
Niger,2020,348056.0
Niger,2024,449236.0
Nigeria,1990,456621.0
Nigeria,1995,462999.0
Nigeria,2000,487882.0
Nigeria,2005,969714.0
Nigeria,2010,990494.0
Nigeria,2015,1199115.0
Nigeria,2020,1308568.0
Nigeria,2024,1403281.0
Saint Helena,1990,178.0
Saint Helena,1995,117.0
Saint Helena,2000,108.0
Saint Helena,2005,163.0
Saint Helena,2010,248.0
Saint Helena,2015,377.0
Saint Helena,2020,437.0
Saint Helena,2024,492.0
Senegal,1990,270410.0
Senegal,1995,287654.0
Senegal,2000,231901.0
Senegal,2005,238298.0
Senegal,2010,256092.0
Senegal,2015,266496.0
Senegal,2020,274929.0
Senegal,2024,281867.0
Sierra Leone,1990,222148.0
Sierra Leone,1995,98516.0
Sierra Leone,2000,97974.0
Sierra Leone,2005,146227.0
Sierra Leone,2010,79265.0
Sierra Leone,2015,58830.0
Sierra Leone,2020,53746.0
Sierra Leone,2024,49997.0
Togo,1990,84844.0
Togo,1995,101583.0
Togo,2000,137968.0
Togo,2005,204219.0
Togo,2010,255564.0
Togo,2015,277384.0
Togo,2020,279936.0
Togo,2024,281994.0
ASIA,1990,46701075.0
ASIA,1995,44841283.0
ASIA,2000,47648238.0
ASIA,2005,51580428.0
ASIA,2010,64340258.0
ASIA,2015,78349845.0
ASIA,2020,84664604.0
ASIA,2024,92170302.0
Central Asia,1990,6300541.0
Central Asia,1995,4912782.0
Central Asia,2000,4048262.0
Central Asia,2005,3978487.0
Central Asia,2010,3786871.0
Central Asia,2015,3766652.0
Central Asia,2020,3822237.0
Central Asia,2024,3910116.0
Kazakhstan,1990,3289058.0
Kazakhstan,1995,2259955.0
Kazakhstan,2000,1733374.0
Kazakhstan,2005,1845637.0
Kazakhstan,2010,1856870.0
Kazakhstan,2015,1919920.0
Kazakhstan,2020,1990268.0
Kazakhstan,2024,2089797.0
Kyrgyzstan,1990,623083.0
Kyrgyzstan,1995,518338.0
Kyrgyzstan,2000,389824.0
Kyrgyzstan,2005,309399.0
Kyrgyzstan,2010,232065.0
Kyrgyzstan,2015,204382.0
Kyrgyzstan,2020,199011.0
Kyrgyzstan,2024,194816.0
Tajikistan,1990,428900.0
Tajikistan,1995,348347.0
Tajikistan,2000,299499.0
Tajikistan,2005,280466.0
Tajikistan,2010,279808.0
Tajikistan,2015,275101.0
Tajikistan,2020,276031.0
Tajikistan,2024,276777.0
Turkmenistan,1990,306500.0
Turkmenistan,1995,273565.0
Turkmenistan,2000,219067.0
Turkmenistan,2005,213053.0
Turkmenistan,2010,197979.0
Turkmenistan,2015,196376.0
Turkmenistan,2020,194920.0
Turkmenistan,2024,193763.0
Uzbekistan,1990,1653000.0
Uzbekistan,1995,1512577.0
Uzbekistan,2000,1406498.0
Uzbekistan,2005,1329932.0
Uzbekistan,2010,1220149.0
Uzbekistan,2015,1170873.0
Uzbekistan,2020,1162007.0
Uzbekistan,2024,1154963.0
Eastern Asia,1990,4118088.0
Eastern Asia,1995,4952397.0
Eastern Asia,2000,5921878.0
Eastern Asia,2005,6662116.0
Eastern Asia,2010,7484060.0
Eastern Asia,2015,9237513.0
Eastern Asia,2020,10919614.0
Eastern Asia,2024,11559387.0
China,1990,518395.0
China,1995,610608.0
China,2000,720915.0
China,2005,853360.0
China,2010,1010008.0
China,2015,1196007.0
China,2020,1415116.0
China,2024,1638718.0
"China, Hong Kong SAR",1990,2218473.0
"China, Hong Kong SAR",1995,2443798.0
"China, Hong Kong SAR",2000,2669122.0
"China, Hong Kong SAR",2005,2721235.0
"China, Hong Kong SAR",2010,2779950.0
"China, Hong Kong SAR",2015,2841113.0
"China, Hong Kong SAR",2020,2962492.0
"China, Hong Kong SAR",2024,3063318.0
"China, Macao SAR",1990,205047.0
"China, Macao SAR",1995,224929.0
"China, Macao SAR",2000,240791.0
"China, Macao SAR",2005,279308.0
"China, Macao SAR",2010,318506.0
"China, Macao SAR",2015,376066.0
"China, Macao SAR",2020,403490.0
"China, Macao SAR",2024,426862.0
"China, Taiwan Province of China",1990,66378.0
"China, Taiwan Province of China",1995,246682.0
"China, Taiwan Province of China",2000,450366.0
"China, Taiwan Province of China",2005,548367.0
"China, Taiwan Province of China",2010,587646.0
"China, Taiwan Province of China",2015,866324.0
"China, Taiwan Province of China",2020,1055191.0
"China, Taiwan Province of China",2024,1136425.0
Dem. People's Republic of Korea,1990,34103.0
Dem. People's Republic of Korea,1995,35143.0
Dem. People's Republic of Korea,2000,36183.0
Dem. People's Republic of Korea,2005,40097.0
Dem. People's Republic of Korea,2010,44010.0
Dem. People's Republic of Korea,2015,48458.0
Dem. People's Republic of Korea,2020,49549.0
Dem. People's Republic of Korea,2024,50439.0
Japan,1990,1050475.0
Japan,1995,1331094.0
Japan,2000,1651869.0
Japan,2005,1976528.0
Japan,2010,2161780.0
Japan,2015,2577487.0
Japan,2020,3289042.0
Japan,2024,3409529.0
Mongolia,1990,6718.0
Mongolia,1995,7424.0
Mongolia,2000,8206.0
Mongolia,2005,11477.0
Mongolia,2010,16062.0
Mongolia,2015,19886.0
Mongolia,2020,21345.0
Mongolia,2024,22589.0
Republic of Korea,1990,18499.0
Republic of Korea,1995,52719.0
Republic of Korea,2000,144426.0
Republic of Korea,2005,231744.0
Republic of Korea,2010,566098.0
Republic of Korea,2015,1312172.0
Republic of Korea,2020,1723389.0
Republic of Korea,2024,1811507.0
Southern Asia,1990,19155930.0
Southern Asia,1995,15227642.0
Southern Asia,2000,14930955.0
Southern Asia,2005,13636926.0
Southern Asia,2010,14439064.0
Southern Asia,2015,13914922.0
Southern Asia,2020,13914646.0
Southern Asia,2024,16459536.0
Afghanistan,1990,57686.0
Afghanistan,1995,71522.0
Afghanistan,2000,75917.0
Afghanistan,2005,87314.0
Afghanistan,2010,102276.0
Afghanistan,2015,339432.0
Afghanistan,2020,144098.0
Afghanistan,2024,98110.0
Bangladesh,1990,881617.0
Bangladesh,1995,934735.0
Bangladesh,2000,987853.0
Bangladesh,2005,1062270.0
Bangladesh,2010,1345546.0
Bangladesh,2015,1422179.0
Bangladesh,2020,2115408.0
Bangladesh,2024,2906338.0
Bhutan,1990,23807.0
Bhutan,1995,27972.0
Bhutan,2000,32137.0
Bhutan,2005,40279.0
Bhutan,2010,48420.0
Bhutan,2015,51106.0
Bhutan,2020,53612.0
Bhutan,2024,55705.0
India,1990,7212791.0
India,1995,6836861.0
India,2000,6391543.0
India,2005,5954999.0
India,2010,5601237.0
India,2015,5252296.0
